,v2,predicted
2995,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,ham
3484,No:-)i got rumour that you going to buy apartment in chennai:-),ham
4536,Normally i use to drink more water daily:),ham
84,Yup next stop.,ham
2487,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,ham
3703,Kent vale lor... ÌÏ wait 4 me there ar?,ham
3966,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,spam
2927,Anything...,ham
2101,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,ham
4253,"How about clothes, jewelry, and trips?",ham
3535,Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,ham
4402,Just getting back home,ham
168,Great escape. I fancy the bridge but needs her lager. See you tomo ,ham
1173,ÌÏ dun need to pick ur gf?,ham
530,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,spam
4022,Well. Balls. Time to make calls,ham
2576,In sch but neva mind u eat 1st lor..,ham
3689,What happen dear tell me,ham
1924,Ok,ham
4071,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821,ham
1334,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*",ham
838,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed,spam
5210,Dai i downloaded but there is only exe file which i can only run that exe after installing.,ham
5558,"Sorry, I'll call later",ham
4352,"Fun fact: although you would think armand would eventually build up a tolerance or some shit considering how much he smokes, he gets fucked up in like 2 hits",ham
2347,But i dint slept in afternoon.,ham
5493,I think if he rule tamilnadu..then its very tough for our people.,ham
3820,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.,ham
5549,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs",ham
426,aathi..where are you dear..,ham
3366,Hey what are you doing. Y no reply pa..,ham
4999,Well its not like you actually called someone a punto. That woulda been worse.,ham
418,"Alright, I'll head out in a few minutes, text me where to meet you",ham
4892,Send me the new number,ham
3074,Take us out shopping and Mark will distract Isaiah.=D,ham
5250,Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,spam
2527,"Mmmmm ... I loved waking to your words this morning ! I miss you too, my Love. I hope your day goes well and you are happy. I wait for us to be together again",ham
2210,Just wanted to say holy shit you guys weren't kidding about this bud,ham
4623,Jus finish blowing my hair. U finish dinner already?,ham
2795,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,ham
373,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay,ham
3660,Well then you have a great weekend!,ham
1199,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,ham
4427,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,ham
5498,Why did I wake up on my own &gt;:(,ham
2312,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith..",spam
5125,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",ham
3933,How come guoyang go n tell her? Then u told her?,ham
1049,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam
3979,ringtoneking 84484,ham
3455,Ok. I.ll do you right later.,ham
132,First answer my question.,ham
468,"Yup, no need. I'll jus wait 4 e rain 2 stop.",ham
5263,Pls speak with me. I wont ask anything other then you friendship.,ham
80,"Sorry, I'll call later",ham
1219,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",ham
2488,Aiyah e rain like quite big leh. If drizzling i can at least run home.,ham
5415,You should get more chicken broth if you want ramen unless there's some I don't know about,ham
2663,8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,spam
297,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL,ham
4602,And I don't plan on staying the night but I prolly won't be back til late,ham
1094,Now only i reached home. . . I am very tired now. . I will come tomorro,ham
3468,All day working day:)except saturday and sunday..,ham
577,ÌÏ wait 4 me in sch i finish ard 5..,ham
5164,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam
1261,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",ham
1879,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,spam
3433,Sending you greetings of joy and happiness. Do have a gr8 evening,ham
4883,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,ham
2714,I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?,ham
1410,Pls speak to that customer machan.,ham
3570,But you dint in touch with me.,ham
3158,Are you up for the challenge? I know i am :),ham
1504,Oh my God. I'm almost home,ham
5444,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,ham
167,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham
1837,And how's your husband.,ham
5406,Dear are you angry i was busy dear,ham
4920,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",ham
1557,Wat r u doing?,ham
5204,How come she can get it? Should b quite diff to guess rite...,ham
764,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",ham
5031,Ok i vl..do u know i got adsense approved..,ham
422,Siva is in hostel aha:-.,ham
1022,We still on for tonight?,ham
4369,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,spam
3199,Just curious because my cuz asked what I was up to,ham
1779,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam
1412,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham
4184,I'm good. Have you registered to vote?,ham
1305,Designation is software developer and may be she get chennai:),ham
3552,Din i tell u jus now 420,ham
4539,"Urgh, coach hot, smells of chip fat! Thanks again, especially for the duvet (not a predictive text word).",ham
2341,Tell dear what happen to you. Why you talking to me like an alian,ham
5561,Get me out of this dump heap. My mom decided to come to lowes. BORING.,ham
5155,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,ham
751,You have an important customer service announcement from PREMIER.,ham
893,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,ham
1966,What's a feathery bowa? Is that something guys have that I don't know about?,ham
1612,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!,spam
2746,K da:)how many page you want?,ham
584,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,ham
1873,You have WON a guaranteed å£1000 cash or a å£2000 prize.To claim yr prize call our customer service representative on,spam
279,All done? All handed in? Celebrations in full swing yet?,ham
135,I only haf msn. It's yijue@hotmail.com,ham
1562,Dude just saw a parked car with its sunroof popped up. Sux,ham
2905,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",ham
5127,Cuz ibored. And don wanna study,ham
1158,Hey! There's veggie pizza... :/,ham
3615,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",ham
4601,\Hey j! r u feeling any better,ham
2364,Ok then no need to tell me anything i am going to sleep good night,ham
2858,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham
3043,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,ham
2034,Is avatar supposed to have subtoitles,ham
4376,How much is torch in 9ja.,ham
2264,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham
3197,7 lor... Change 2 suntec... Wat time u coming?,ham
1558,Message from . I am at Truro Hospital on ext. You can phone me here. as I have a phone by my side,ham
865,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net å£1.50pm approx 3mins,spam
747,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam
2480,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",spam
1586,There are no other charges after transfer charges and you can withdraw anyhow you like,ham
121,here is my new address -apples&pairs&all that malarky,ham
324,No problem. How are you doing?,ham
4956,I'm vivek:)i got call from your number.,ham
1074,Aight ill get on fb in a couple minutes,ham
925,"K, wait chikku..il send aftr  &lt;#&gt; mins",ham
877,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam
4331,ALSO TELL HIM I SAID HAPPY BIRTHDAY,ham
589,"I'm in a meeting, call me later at",ham
333,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,ham
896,Hope you are having a good week. Just checking in,ham
2753,"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",ham
3515,"Well, I was about to give up cos they all said no they didnÛ÷t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",ham
1513,Hows the champ just leaving glasgow!,ham
5397,That's necessarily respectful,ham
2086,Dude how do you like the buff wind.,ham
4048,Yeah that's the impression I got,ham
5332,I think steyn surely get one wicket:),ham
3208,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?,ham
2789,When you are big..| God will bring success.,ham
5341,And of course you should make a stink!,ham
1505,Total video converter free download type this in google search:),ham
4816,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,ham
5289,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,ham
534,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",ham
2775,We confirm eating at esplanade?,ham
3463,My phone,ham
2366,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016,spam
240,Tomarrow final hearing on my laptop case so i cant.,ham
2805,Can a not?,ham
4418,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_,ham
3886,Cab is available.they pick up and drop at door steps.,ham
2110,Do we have any spare power supplies,ham
5174,Water logging in desert. Geoenvironmental implications.,ham
5507,I want to be inside you every night...,ham
5114,Argh why the fuck is nobody in town ;_;,ham
1370,Hope you are feeling great. Pls fill me in. Abiola,ham
2059,He didn't see his shadow. We get an early spring yay,ham
3655,Oh really?? Did you make it on air? What's your talent?,ham
3247,Also track down any lighters you can find,ham
1942,K...k:)why cant you come here and search job:),ham
2877,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam
4588,Have you not finished work yet or something?,ham
1934,Hope you are having a great day.,ham
5142,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,ham
3873,No. Did you multimedia message them or e-mail?,ham
4652,Lol yes. But it will add some spice to your day.,ham
1694,ÌÏ eatin later but i'm eatin wif my frens now lei... ÌÏ going home first? ,ham
794,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?,ham
1361,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?,ham
1666,Guess who spent all last night phasing in and out of the fourth dimension,ham
4853,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",ham
1392,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",ham
208,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham
3077,Okay but i thought you were the expert,ham
1703,Just taste fish curry :-P,ham
2822,Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,ham
248,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham
1580,"I shall book chez jules for half eight, if that's ok with you?",ham
598,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,ham
